30221	722	22	NULL	Style #	2	NULL	7	1	1	NULL	1	0	
30221	724	186	NULL	Division	1	5	0	1	2	NULL	1	0	
30221	726	3	NULL	Season	1	8	0	1	3	NULL	1	0	
30221	728	146	NULL	Date Shipping 1	7	NULL	0	1	4	NULL	1	0	NULL
30221	733	3707	NULL	Item Type	1	123	0	1	5	NULL	1	1	2
30221	723	23	NULL	Description	4	NULL	7	2	1	NULL	1	0	
30221	725	1	NULL	Product Class	1	1	0	2	2	NULL	1	0	
30221	727	4	NULL	Collection	1	6	0	2	3	NULL	1	0	
30221	729	147	NULL	Date Shipping 2	7	NULL	0	2	4	NULL	1	0	NULL
30221	731	10	NULL	Size Range	1	10	0	3	1	NULL	1	0	
30221	735	2	NULL	Type	1	4	0	3	2	NULL	1	0	
30221	732	56	NULL	Vendor	1	42	0	3	3	NULL	1	0	
30221	730	148	NULL	CancelByDate	7	NULL	0	3	4	NULL	1	0	NULL
30221	734	149	NULL	Type Group	1	95	0	4	2	NULL	1	0	11
30223	767	NULL	NULL	Ref No.	NULL	NULL	0	1	1	NULL	1	0	
30223	756	1	NULL	Product Class	1	1	0	1	2	NULL	1	0	
30223	757	3	NULL	Season	1	8	0	1	3	NULL	1	0	
30223	760	3707	NULL	Item Type	1	123	0	1	4	NULL	1	0	2
30223	754	22	NULL	Style #	2	NULL	7	2	1	NULL	1	0	
30223	761	149	NULL	Type Group	1	95	0	2	2	NULL	1	0	
30223	758	4	NULL	Collection	1	6	0	2	3	NULL	1	0	
30223	771	5345	7581	Main	13	NULL	0	2	4	NULL	1	0	True
30223	763	7028	NULL	Name	2	NULL	7	3	1	NULL	1	0	
30223	762	2	NULL	Product Type	1	4	0	3	2	NULL	1	0	
30223	766	5	NULL	Group	1	7	0	3	3	NULL	1	0	
30223	858	35	7976	Active	13	NULL	0	3	4	NULL	1	0	True
30223	755	23	NULL	Description	4	NULL	7	4	1	NULL	1	0	
30223	830	NULL	NULL	CreatedBy	NULL	NULL	0	4	2	NULL	1	0	
30223	769	6887	NULL	Garment Factory	1	4758	0	4	3	NULL	1	0	
30223	850	3004	NULL	Style Status	1	3501	13	4	4	NULL	1	0	2924
30224	831	22	NULL	Article #	2	NULL	7	1	1	NULL	1	0	
30224	832	23	NULL	Description	2	NULL	NULL	1	2	NULL	1	0	NULL
30224	792	7027	7617	Creation	13	NULL	0	1	3	NULL	1	1	True
30224	781	7027	7605	Combo Color	1	79	0	2	1	NULL	1	0	
30224	782	7027	7606	Date	7	NULL	0	2	2	NULL	1	0	NULL
30224	783	7027	7607	Season	1	3662	0	3	1	NULL	1	0	
30224	784	7027	7612	Status	1	4771	0	3	2	NULL	1	0	
30224	785	7027	7613	Comment	4	NULL	7	4	1	NULL	1	0	
30224	786	7027	7659	Color|Season|Status	2	NULL	7	4	2	NULL	1	0	
30228	825	6832	NULL	Graphic Req #	23	NULL	7	1	1	NULL	1	0	
30228	821	6818	NULL	Request Date	7	NULL	3	1	2	NULL	1	0	NULL
30228	823	6819	NULL	Request By	1	80	0	1	3	NULL	1	1	259
30228	828	6844	NULL	Item Type	1	123	0	1	4	NULL	1	1	34
30228	820	6817	NULL	Request Type	1	4735	0	2	1	NULL	1	0	
30228	822	6818	NULL	Request Date	7	NULL	5	2	2	NULL	1	0	NULL
30228	826	6833	NULL	Handled By	1	4780	0	2	3	NULL	1	0	
30228	827	6837	NULL	Status	1	4736	0	3	1	NULL	1	0	
30228	824	6820	NULL	Deliver By	7	NULL	0	3	2	NULL	1	0	NULL
30228	829	6821	NULL	Additional Info	4	NULL	7	3	3	NULL	1	0	
30229	840	22	NULL	Fabric Code	2	NULL	7	1	1	NULL	1	0	
30229	847	6790	NULL	Fabric Mill	1	4723	0	1	2	NULL	1	0	
30229	843	3	NULL	Season	1	8	0	1	3	NULL	1	0	
30229	845	3708	NULL	Item Type	1	123	0	1	4	NULL	1	1	3
30229	841	23	NULL	Description	4	NULL	7	2	1	NULL	1	0	
30229	848	3916	NULL	Mill Article #	2	NULL	7	2	2	NULL	1	0	
30229	842	3127	NULL	Print/Solid	1	3462	0	2	3	NULL	1	0	
30229	846	3128	NULL	Status	1	3461	0	3	1	NULL	1	0	
30229	844	103	NULL	COO	1	59	0	3	2	NULL	1	0	
30229	849	3130	NULL	Fabric Type	1	3463	0	3	3	NULL	1	0	
30231	859	7290	NULL	Fabric Code	2	NULL	7	1	1	NULL	1	0	
30231	860	7301	NULL	Fabric Content	4	NULL	7	1	2	NULL	1	0	
30231	861	7291	NULL	Fabric Weight	2	NULL	0	2	1	NULL	1	0	
30231	862	3	NULL	Season	1	8	0	2	2	NULL	1	0	
30231	864	149	NULL	Type Group	1	95	0	3	1	NULL	1	0	
30233	888	NULL	NULL	Ref No.	NULL	NULL	0	1	1	NULL	1	0	
30233	880	1	NULL	Product Class	1	1	0	1	2	NULL	1	0	
30233	881	3	NULL	Season	1	8	0	1	3	NULL	1	0	
30233	883	3707	NULL	Item Type	1	123	0	1	4	NULL	1	0	2
30233	878	22	NULL	Style #	2	NULL	7	2	1	NULL	1	0	
30233	884	149	NULL	Type Group	1	95	0	2	2	NULL	1	0	
30233	882	4	NULL	Collection	1	6	0	2	3	NULL	1	0	
30233	894	6787	7845	Main	13	NULL	0	2	4	NULL	1	0	True
30233	886	7028	NULL	Name	2	NULL	7	3	1	NULL	1	0	
