30213	149	56	NULL	Supplier	NULL	NULL	19	1
30213	150	103	NULL	Country Of Origin	NULL	NULL	20	1
30213	694	NULL	NULL	Created By	NULL	NULL	21	1
30213	695	NULL	NULL	Created Date	NULL	NULL	22	1
30213	877	NULL	NULL	ID	NULL	NULL	23	0
30213	892	NULL	NULL	ERPID	NULL	NULL	24	0
30213	1554	3707	NULL	Item Type	NULL	NULL	25	1
30213	1557	6887	NULL	Garment Factory	NULL	NULL	26	1
30214	4	6	NULL	Sketch	NULL	NULL	1	1
30214	57	22	NULL	Style #	NULL	NULL	2	1
30214	2	23	NULL	Description	NULL	NULL	3	1
30214	197	1	NULL	Product Class	NULL	NULL	4	1
30214	198	149	NULL	Type Group	NULL	NULL	5	1
30214	199	2	NULL	Product Type	NULL	NULL	6	1
30214	1542	141	NULL	Brand	NULL	NULL	7	1
30214	200	3	NULL	Season	NULL	NULL	8	1
30214	201	4	NULL	Collection	NULL	NULL	9	1
30214	202	5	NULL	Group	NULL	NULL	10	1
30214	141	10	NULL	Size Range	NULL	NULL	11	1
30214	142	11	NULL	Dimension	NULL	NULL	12	1
30214	143	3006	NULL	Sample Status	NULL	NULL	13	1
30214	144	3004	NULL	Style Status	NULL	NULL	14	1
30214	146	146	NULL	Ship Date 1	NULL	NULL	15	1
30214	147	147	NULL	Ship Date 2	NULL	NULL	16	1
30214	148	148	NULL	CancelByDate	NULL	NULL	17	1
30214	140	47	NULL	Composition	NULL	NULL	18	1
30214	149	56	NULL	Supplier	NULL	NULL	19	1
30214	150	103	NULL	Country Of Origin	NULL	NULL	20	1
30214	694	NULL	NULL	Created By	NULL	NULL	21	1
30214	695	NULL	NULL	Created Date	NULL	NULL	22	1
30214	877	NULL	NULL	ID	NULL	NULL	23	0
30214	892	NULL	NULL	ERPID	NULL	NULL	24	0
30214	1554	3707	NULL	Item Type	NULL	NULL	25	1
30214	1557	6887	NULL	Garment Factory	NULL	NULL	26	1
30215	4	6	NULL	Sketch	NULL	NULL	1	1
30215	57	22	NULL	Style #	NULL	NULL	2	1
30215	2	23	NULL	Description	NULL	NULL	3	1
30215	197	1	NULL	Product Class	NULL	NULL	4	1
30215	198	149	NULL	Type Group	NULL	NULL	5	1
30215	199	2	NULL	Product Type	NULL	NULL	6	1
30215	1542	141	NULL	Brand	NULL	NULL	7	1
30215	200	3	NULL	Season	NULL	NULL	8	1
30215	201	4	NULL	Collection	NULL	NULL	9	1
30215	202	5	NULL	Group	NULL	NULL	10	1
30215	141	10	NULL	Size Range	NULL	NULL	11	1
30215	142	11	NULL	Dimension	NULL	NULL	12	1
30215	143	3006	NULL	Sample Status	NULL	NULL	13	1
30215	144	3004	NULL	Style Status	NULL	NULL	14	1
30215	146	146	NULL	Ship Date 1	NULL	NULL	15	1
30215	147	147	NULL	Ship Date 2	NULL	NULL	16	1
